Name of Incident,Year,Country,Type of Event,Impact,Affected Population,Important Person/Group Responsible,Outcome
Partition of India,1947,India,Partition,Creation of India and Pakistan; massive population displacement and violence,"Hindus, Muslims, Sikhs","British Empire, Indian political leaders",Negative
IndoUnknownPakistani War of 1971,1971,India,War,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative
Mumbai Terror Attacks,2008,India,Terrorism,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative
Swadeshi Movement,1905,India,National Movement,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive
Green Revolution,1960,India,Agricultural Revolution,Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive
Operation Blue Star,1984,India,Military Operation,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative
Kargil War,1999,India,Military Conflict,India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive
Right to Information Act Enacted,2005,India,Legislation,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive
Nirbhaya Case,2012,India,Criminal Incident,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive
Launch of 5G Services,2022,India,Technology,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive
Ram Mandir Bhoomi Pujan,2020,India,Cultural/Religious,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive
India's First Hyperloop Project Announcement,2018,India,Infrastructure,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive
Indian Independence,1947,India,Political,End of British rule and birth of independent India,All citizens of India,"Indian National Congress, Muslim League",Positive
First General Elections,1951,India,Political,Establishment of democratic governance,Indian electorate,Government of India,Positive
SinoUnknownIndian War,1962,India,Military Conflict,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative
Emergency Declared by Indira Gandhi,1975,India,Political,Period of political unrest and curtailment of civil liberties,Indian citizens,"Indira Gandhi, Government of India",Negative
Bhopal Gas Tragedy,1984,India,Industrial Disaster,World's worst industrial disaster,Residents of Bhopal,Union Carbide Corporation,Negative
Economic Reforms and Liberalization,1991,India,Economic Policy,Opening of the Indian economy to global markets and investors,"Indian businesses, workers","Manmohan Singh, P.V. Narasimha Rao",Positive
Kandahar Hijacking (IC 814),1999,India,Terrorism,Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative
